,name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,difficulty
10,Beef and Bean Burritos,2 POUNDS GROUND BEEF 1/2 WHOLE MEDIUM ONION 1 CAN (7 OUNCE) MEXICAN TOMATO SAUCE OR ENCHILADA SAUCE  SALT AND PEPPER  TO TASTE  CUMIN  OREGANO  CHILI POWDER  GARLIC TO TASTE 1 CAN (28 OUNCE) REFRIED BEANS 3/4 CUPS GRATED CHEDDAR CHEESE 12 WHOLE BURRITO-SIZED FLOUR TORTILLAS  EXTRA GRATED CHEESE  FOR SPRINKLING  EXTRA SAUCE  FOR DRIZZLING  CILANTRO LEAVES  OPTIONAL  OPTIONAL FILLING INGREDIENTS: MEXICAN RICE  SOUR CREAM  GUACAMOLE  GREEN CHILIES  PICO DE GALLO,http://thepioneerwoman.com/cooking/2010/07/brown-hot-and-plenty-of-it-vol-i/,http://static.thepioneerwoman.com/cooking/files/2010/07/4784959605_c5713e9e4b_b.jpg,PT11M,6,2010-07-12,PT5M,"First, an important clarification: The Pioneer Woman Cooks is not meant to be an encyclopedia of innovative gourmet recipes. ...",Easy
11,Chicken Tortilla Soup,2 WHOLE BONELESS  SKINLESS CHICKEN BREASTS 1 TABLESPOON OLIVE OIL 1-1/2 TEASPOON CUMIN 1 TEASPOON CHILI POWDER 1/2 TEASPOON GARLIC POWDER 1/2 TEASPOON SALT 1 TABLESPOON OLIVE OIL 1 CUP DICED ONION 1/4 CUP DICED GREEN BELL PEPPER 1/4 CUP RED BELL PEPPER 3 CLOVES GARLIC  MINCED 1 CAN (10 OZ. CAN) ROTEL TOMATOES AND GREEN CHILIES 32 OUNCES  FLUID LOW SODIUM CHICKEN STOCK 3 TABLESPOONS TOMATO PASTE 4 CUPS HOT WATER 2 CANS (15 OZ. CAN) BLACK BEANS  DRAINED 3 TABLESPOONS CORNMEAL OR MASA 5 WHOLE CORN TORTILLAS  CUT INTO UNIFORM STRIPS AROUND 2 TO 3 INCHES  _____  FOR THE GARNISHES:  SOUR CREAM  DICED AVOCADO  DICED RED ONION  SALSA OR PICO DE GALLO  GRATED MONTEREY JACK CHEESE  CILANTRO,http://thepioneerwoman.com/cooking/2011/01/chicken-tortilla-soup/,http://static.thepioneerwoman.com/cooking/files/2011/01/5337400468_d5892f3a03_o.jpg,PT1H30M,8,2011-01-10,PT10M,"I love, love, love, love Chicken Tortilla Soup. So over the weekend, I made some.     The end.     Wasn't that a beautiful st...",Hard
12,My Brother’s Chicken Tacos,16 WHOLE CORN TORTILLAS (SMALL SIZE) 4 WHOLE BONELESS  SKINLESS CHICKEN BREASTS  CUT INTO PIECES  SALT  CUMIN  CHILI POWDER TO TASTE (OR USE TACO SEASONING) 2 TABLESPOONS CANOLA OIL 2 CANS (4 OUNCE) DICED GREEN CHILIES 1-1/2 CUP FINELY GRATED CHEESE (CHEDDAR OR CHEDDAR/JACK MIX)  SOUR CREAM  HOT SAUCE (CHULULA OR OTHER BRAND) 2 CUPS THINLY SLICED ROMAINE LETTUCE (OR ANY LETTUCE) 4 WHOLE ROMA TOMATOES  DICED  CANOLA OIL  FOR FRYING TACOS,http://thepioneerwoman.com/cooking/2011/03/my-brothers-chicken-tacos/,http://static.thepioneerwoman.com/cooking/files/2011/03/tacos.jpg,PT30M,8,2011-03-31,PT10M,"Before I share this recipe with you, let me warn you: it's a royal mess. But as is the case with many messy dishes (cinnamon ...",Medium
13,Simple Sesame Noodles,12 OUNCES  FLUID THIN NOODLES  COOKED AND DRAINED 1/4 CUP SOY SAUCE 2 TABLESPOONS SUGAR 4 CLOVES GARLIC  MINCED 2 TABLESPOONS RICE VINEGAR 3 TABLESPOONS PURE SESAME OIL 1/2 TEASPOON HOT CHILI OIL 4 TABLESPOONS CANOLA OIL 4 WHOLE GREEN ONIONS  SLICED THIN,http://thepioneerwoman.com/cooking/2010/08/simple-sesame-noodles/,http://static.thepioneerwoman.com/cooking/files/2010/08/3949394720_c854047191_o1.jpg,PT10M,8,2010-08-13,PT10M,  I'll be spending the weekend cooking some new recipes and making such a mess of my kitchen I'll want to cry and burn down t...,Easy
14,Corn Chowder with Chilies,2 SLICES BACON  CUT INTO 1/2-INCH PIECES (OR SMALLER) 2 TABLESPOONS BUTTER 1-1/2 WHOLE YELLOW ONION  DICED 5 EARS CORN  SHUCKED (ABOUT 4 CUPS) 2 WHOLE CHIPOTLE PEPPERS IN ADOBO SAUCE  FINELY DICED 1 WHOLE 4-OUNCE CAN DICED GREEN CHILIES 32 OUNCES  FLUID LOW SODIUM CHICKEN BROTH 1-1/2 CUP HEAVY WHIPPING CREAM 1/2 TEASPOON KOSHER SALT (MORE TO TASTE) 3 TABLESPOONS CORN MEAL OR MASA 1/4 CUP WATER,http://thepioneerwoman.com/cooking/2010/10/corn-chowder-with-chilies/,http://static.thepioneerwoman.com/cooking/files/2010/10/chowder.jpg,PT20M,8,2010-10-08,PT10M,"This is to die for.     It's just a regular corn chowder made with fresh corn shaved off the cob, which is yummy enough as it...",Medium
15,Creamy Cheese Grits with Chilies,4-1/2 CUPS WATER 1/2 TEASPOON SALT 1 CUP GRITS (QUICK OR REGULAR) 1/2 CAN (10 OUNCE CAN) ROTEL (TOMATOES AND CHILIES) 1 CAN (4 OUNCE CAN) CHOPPED GREEN CHILIES 8 OUNCES  WEIGHT MONTEREY JACK CHEESE  GRATED 4 OUNCES  WEIGHT CREAM CHEESE  CUT INTO CUBES 1/4 TEASPOON CAYENNE PEPPER 1/4 TEASPOON PAPRIKA  BLACK PEPPER TO TASTE 1 WHOLE EGG BEATEN,http://thepioneerwoman.com/cooking/2010/10/creamy-cheese-grits-with-chilies/,http://static.thepioneerwoman.com/cooking/files/2010/10/5079611293_ff628b6e0c_z.jpg,PT45M,8,2010-10-14,PT5M,"I have a good, basic recipe for cheese grits in my cookbook, but last night I was feeling feisty.     I was cooking steaks. B...",Medium
16,Big Steak Salad,2 WHOLE RIB-EYE OR STRIP STEAKS  EXTRA FAT TRIMMED  _____  FOR THE DRESSING/MARINADE: 3/4 CUPS CANOLA OIL 3 TABLESPOONS RED WINE VINEGAR 1 TABLESPOON BALSAMIC VINEGAR 1 TABLESPOON WORCESTERSHIRE SAUCE 2 TABLESPOONS SOY SAUCE 1 TEASPOON (ADDITIONAL) SOY SAUCE 2 TABLESPOONS LIME JUICE 2 TABLESPOONS SUGAR 3 CLOVES GARLIC  PEELED 1 TABLESPOON MINCED FRESH GINGER 1/2 TEASPOON HOT CHILI OIL 1 TEASPOON KOSHER SALT  LOTS OF FRESHLY GROUND BLACK PEPPER  _____  FOR THE ONION STRINGS: 2 WHOLE ONIONS  SLICED AS THIN AS POSSIBLE 2 CUPS BUTTERMILK 2 CUPS FLOUR 1 TABLESPOON SALT 1/2 TEASPOON CAYENNE PEPPER 1 QUART CANOLA OIL  BLACK PEPPER TO TASTE  _____  FOR THE CANDIED PECAN BITS: 1/2 CUP PECANS  CHOPPED 1 CUP SUGAR 2 TABLESPOONS WATER  _____  FOR THE SALAD:  LETTUCE MIX: ROMAINE  ARUGULA  WATERCRESS  RADDICCIO  ETC.  SMALL GRAPE TOMATOES 3/4 CUPS CRUMBLED BLUE CHEESE,http://thepioneerwoman.com/cooking/2010/10/big-steak-salad/,http://static.thepioneerwoman.com/cooking/files/2010/10/5095710774_9a8833d919_z.jpg,PT20M,4,2010-10-20,PT1M,There are few things I love more than a big green salad with sliced grilled steak on top. Whenever Marlboro Man and I land at...,Easy
17,Butternut Squash &amp; Kale Quesadillas,1/2 WHOLE BUTTERNUT SQUASH  PEELED  SEEDED  AND DICED. 2 TABLESPOONS BUTTER 1 TABLESPOON OLIVE OIL 1/2 TEASPOON KOSHER SALT  BLACK PEPPER TO TASTE 1/4 TEASPOON CHILI POWDER (MORE TO TASTE) 1 BUNCH KALE  LEAVES TORN  STALKS DISCARDED 8 WHOLE SMALL (FAJITA SIZED) FLOUR TORTILLAS  EXTRA BUTTER FOR FRYING 2-1/2 CUPS MONTEREY JACK CHEESE  GRATED (MORE IF NEEDED)  SOUR CREAM FOR SERVING  CILANTRO  FOR SERVING  PICO DE GALLO  SALSA  AVOCADO SLICES (OPTIONAL) FOR SERVING,http://thepioneerwoman.com/cooking/2013/01/butternut-squash-kale-quesadillas/,http://static.thepioneerwoman.com/cooking/files/2013/01/squashkale.jpg,PT20M,4,2013-01-07,PT15M,I am a passionate lover of butternut squash. I've written before about how a spoonful of butternut squash puree (spiked with ...,Medium
18,Restaurant Style Salsa,1 CAN (28 OUNCE) WHOLE TOMATOES WITH JUICE 2 CANS (10 OUNCE) ROTEL (DICED TOMATOES AND GREEN CHILIES) 1/4 CUP CHOPPED ONION 1 CLOVE GARLIC  MINCED 1 WHOLE JALAPENO  QUARTERED AND SLICED THIN 1/4 TEASPOON SUGAR 1/4 TEASPOON SALT 1/4 TEASPOON GROUND CUMIN 1/2 CUP CILANTRO (MORE TO TASTE!) 1/2 WHOLE LIME JUICE,http://thepioneerwoman.com/cooking/2010/01/restaurant-style-salsa/,http://static.thepioneerwoman.com/cooking/files/2010/07/4307514771_c089bbd7101.jpg,PT,12,2010-01-27,PT10M,"Okay. Here's the situation:     I am completely high maintenance when it comes to salsa.     Now, I'm not talking about Pico ...",Easy
19,Passover Brisket,1 WHOLE BEEF BRISKET  TRIMMED OF ALL FAT (5 TO 8 POUNDS) 1 BOTTLE (24 OUNCE) KETCHUP OR CHILI SAUCE (MAKE SURE IT'S KOSHER) 1 PACKAGE ONION SOUP MIX (MAKE SURE IT'S KOSHER),http://thepioneerwoman.com/cooking/2010/03/passover-brisket-i-think/,http://static.thepioneerwoman.com/cooking/files/2010/07/4475462524_0903f9b850.jpg,PT7H,8,2010-03-30,PT10M,"Okay. I think we've more than established that when it comes to correct methods for cooking and serving Passover food, I am n...",Hard
20,Sloppy Joes,2 TABLESPOONS BUTTER 2-1/2 POUNDS GROUND BEEF 1/2 WHOLE LARGE ONION  DICED 1 WHOLE LARGE GREEN BELL PEPPER  DICED 5 CLOVES GARLIC  MINCED 1-1/2 CUP KETCHUP 1 CUP WATER 2 TABLESPOONS BROWN SUGAR 2 TEASPOONS CHILI POWDER (MORE TO TASTE) 1 TEASPOON DRY MUSTARD 1/2 TEASPOON RED PEPPER FLAKES (MORE TO TASTE)  WORCESTERSHIRE SAUCE  TO TASTE 2 TABLESPOONS TOMATO PASTE (OPTIONAL)  TABASCO SAUCE (OPTIONAL; TO TASTE)  SALT TO TASTE  FRESHLY GROUND BLACK PEPPER  TO TASTE  KAISER ROLLS  BUTTER,http://thepioneerwoman.com/cooking/2010/04/sloppy-joes/,http://static.thepioneerwoman.com/cooking/files/2010/07/4512963320_bba26f6a97_o.jpg,PT20M,8,2010-04-12,PT10M,"I used to be terrified of sloppy joes. It's true. When I was a little girl, I got it in my head that sloppy joes were demons,...",Medium
21,Butternut Squash Risotto,1/2 WHOLE BUTTERNUT SQUASH  PEELED  SEEDED  AND DICED. 3 TABLESPOONS BUTTER 1 TABLESPOON OLIVE OIL 1/2 TEASPOON KOSHER SALT  BLACK PEPPER TO TASTE 1/4 TEASPOON CHILI POWDER 1/2 WHOLE DICED ONION 1-1/2 CUP ARBORIO RICE 6 CUPS (APPROXIMATELY) VEGETABLE OR CHICKEN BROTH (LOW SODIUM)  SALT AND PEPPER  TO TASTE 1/8 TEASPOON TURMERIC 1/4 CUP HEAVY CREAM (LESS IF DESIRED) 1/2 CUP PARMESAN SHAVINGS (MORE FOR SERVING)  FINELY MINCED PARSLEY  FOR SERVING,http://thepioneerwoman.com/cooking/2013/01/butternut-squash-risotto/,http://static.thepioneerwoman.com/cooking/files/2013/01/risotto.jpg,PT1H,8,2013-01-21,PT10M,"A couple of weeks ago, I cooked Butternut Squash &amp; Kale Quesadillas. The same day, because I had hacked into a whole butternu...",Hard
22,"Chicken Tikka Masala, by Pastor Ryan",3 WHOLE (TO 4) CHICKEN BREASTS  KOSHER SALT  GROUND CORIANDER  CUMIN  TO TASTE 1/2 CUP PLAIN YOGURT 6 TABLESPOONS BUTTER 1 WHOLE LARGE ONION 4 CLOVES GARLIC 1 PIECE (APPROXIMATELY 2 INCHES) CHUNK FRESH GINGER  GARAM MASALA 1 CAN (28 OUNCE) DICED TOMATOES  SUGAR 1-1/2 CUP HEAVY CREAM 2 CUPS BASMATI RICE  _____  OPTIONAL:  FRESH CILANTRO  CHILI PEPPERS  TURMERIC  FROZEN PEAS,http://thepioneerwoman.com/cooking/2009/06/chicken-tikka-masala-by-pastor-ryan/,http://static.thepioneerwoman.com/cooking/files/2009/06/chicken-tikka-masala.jpg,PT1H,6,2009-06-04,PT30M,"Whether you love Chicken Tikka Masala or you've never tried it in your life, you're in for a treat. Ryan comes through once a...",Hard
23,Fresh Corn and Avocado Salsa,4 EARS SWEET CORN 2 WHOLE VERY FIRM AVOCADOS  DICED  1/2 RED ONION  DICED  1/2 JALAPENO  SEEDED AND FINELY DICED  1/2 HOT CHILI PEPPER  SEEDED AND FINELY DICED 1 WHOLE JUICE OF LIME  PLENTY OF CHOPPED CILANTRO  SALT TO TASTE 1 TABLESPOON VINEGAR 1 TEASPOON SUGAR (OPTIONAL),http://thepioneerwoman.com/cooking/2009/08/fresh-corn-avocado-salsa/,http://static.thepioneerwoman.com/cooking/files/2009/08/ree_66701.jpg,PT,10,2009-08-13,PT25M,"I dropped by the Lodge yesterday afternoon and discovered, to both my horror and excitement, that our friend Dave from Indian...",Easy
24,White Chicken Enchiladas,2-1/2 CUPS COOKED  SHREDDED CHICKEN 2 CUPS RESERVED BROTH FROM CHICKEN 3 TABLESPOONS CANOLA OIL 12 WHOLE CORN TORTILLAS 1 WHOLE LARGE ONION  DICED 3 WHOLE 4 OZ CANS WHOLE GREEN CHILIES  DICED 1 WHOLE JALAPENO  SEEDED AND FINELY DICED 1 TEASPOON PAPRIKA 1/2 CUP HEAVY CREAM 2 TABLESPOONS BUTTER 2 TABLESPOONS FLOUR 1 CUP SOUR CREAM 2-1/2 CUPS MONTEREY JACK CHEESE  GRATED  SALT AND PEPPER  TO TASTE  PICANTE SAUCE (OPTIONAL)  CILANTRO  CHOPPED,http://thepioneerwoman.com/cooking/2009/11/white-chicken-enchiladas/,http://static.thepioneerwoman.com/cooking/files/2010/07/4060528829_67db52b435.jpg,PT30M,6,2009-11-09,PT45M,"I'm happy to share my method for making creamy, dreamy, delicious, nutritious, yummy, nummy white chicken enchiladas.    They...",Hard
25,Good Ol’ Basic Mexican Rice,2 TABLESPOONS CANOLA OIL 1/2 WHOLE LARGE ONION  CHOPPED 2 CUPS LONG GRAIN RICE 3 CLOVES GARLIC  MINCED 1 CAN ROTEL DICED GREEN CHILIES AND TOMATOES (10 OUNCE CAN) 1 CAN WHOLE TOMATOES (14.5 OUNCE CAN) 2 CUPS LOW SODIUM CHICKEN BROTH (MORE IF NEEDED) 1 TEASPOON CUMIN (MORE TO TASTE) 1 TEASPOON KOSHER SALT  FRESH CILANTRO  CHOPPED,http://thepioneerwoman.com/cooking/2009/11/good-ol-basic-mexican-rice/,http://static.thepioneerwoman.com/cooking/files/2010/07/4021656171_abe77dc608.jpg,PT15M,6,2009-11-11,PT10M,I serve this rice with my White Chicken Enchiladas and they really are the perfect complement. It's a very basic Mexican rice...,Easy
26,Lazy Chiles Rellenos,8 WHOLE ROASTED  PEELED  AND SEEDED GREEN CHILES 1-1/2 CUP MONTEREY JACK CHEESE  GRATED 5 WHOLE LARGE EGGS 2 CUPS WHOLE MILK  SALT AND BLACK PEPPER TO TASTE 1/2 TEASPOON PAPRIKA 1/4 TEASPOON CAYENNE PEPPER,http://thepioneerwoman.com/cooking/2009/11/lazy-chiles-rellenos/,http://static.thepioneerwoman.com/cooking/files/2010/07/4098250665_65310ab692.jpg,PT45M,9,2009-11-12,PT5M,This dish ain't fancy.     This dish ain't difficult to make. (Huh. Understatement of the modern era.)    This dish...ain't n...,Medium
27,White Chili,1 WHOLE FRYER CHICKEN  CUT UP (OR 3 CUPS COOKED CHICKEN) 1 WHOLE MEDIUM ONION  DICED 4 CLOVES GARLIC  MINCED 2 WHOLE CANS GREEN CHILIES  CHOPPED 1 POUND DRIED GREAT NORTHERN BEANS  RINSED 8 CUPS CHICKEN BROTH 1 WHOLE JALAPENO  SLICED 1-1/2 TABLESPOON GROUND CUMIN 1/2 TEASPOON PAPRIKA 1/2 TEASPOON CAYENNE PEPPER  SALT TO TASTE  WHITE PEPPER  TO TASTE 1 CUP WHOLE MILK 2 TABLESPOONS MASA (CORN FLOUR) OR CORNMEAL  GRATED MONTEREY JACK  TO TASTE  SOUR CREAM FOR GARNISH  CILANTRO FOR GARNISH  GUACAMOLE (OPTIONAL)  PICO DE GALLO (OPTIONAL)  CORN TORTILLAS  WARMED,http://thepioneerwoman.com/cooking/2010/01/simple-hearty-white-chili/,http://static.thepioneerwoman.com/cooking/files/2010/07/4243109382_1a797f44d2.jpg,PT2H,8,2010-01-04,PT25M,"I love white chili. And just like regular chili, there are as many incarnations as there are grains of sand in all the beache...",Hard
28,Enchiladas, FOR THE SAUCE: 1 TABLESPOON CANOLA OIL 1 TABLESPOON ALL-PURPOSE FLOUR 1 CAN (28 OUNCE) ENCHILADA OR RED SAUCE 2 CUPS CHICKEN BROTH 1/2 TEASPOON SALT 1/2 TEASPOON GROUND BLACK PEPPER 2 TABLESPOONS CHOPPED CILANTRO  _____  FOR THE MEAT: 1-1/2 POUND GROUND BEEF 1 WHOLE MEDIUM ONION  FINELY DICED 2 CANS (4 OUNCE) DICED GREEN CHILIES 1/2 TEASPOON SALT  _____  FOR THE TORTILLAS: 10 WHOLE (TO 14) CORN TORTILLAS 1/2 CUP CANOLA OIL  _____  TO ASSEMBLE: 3 CUPS GRATED SHARP CHEDDAR CHEESE 1/2 CUP CHOPPED BLACK OLIVES 1 CUP CHOPPED GREEN ONIONS 1/2 CUP CHOPPED CILANTRO,http://thepioneerwoman.com/cooking/2008/09/simple-perfect-enchiladas/,http://static.thepioneerwoman.com/cooking/files/2008/09/Enchiladas.jpg,PT20M,6,2008-09-15,PT1H30M,"Okay, people. Let's get down to business here. Let's make enchiladas!     Did you know that in addition to having an imaginar...",Hard
29,Mexican Layer Dip,1 CAN REFRIED BEANS  TABASCO SAUCE  TO TASTE 1 CAN DICED GREEN CHILIES  GROUND CUMIN  TO TASTE 3/4 CUPS GRATED SHARP CHEDDAR CHEESE 1 CUP SOUR CREAM 1 CUP GUACAMOLE 3/4 CUPS MONTEREY JACK CHEESE 1 CAN BLACK OLIVES 1 CUP PICO DE GALLO,http://thepioneerwoman.com/cooking/2009/01/mexican-layer-dip/,http://static.thepioneerwoman.com/cooking/files/2010/07/3240212440_df1959a301.jpg,PT,8,2009-01-30,PT15M,"    It's the exact same Mexican Layer Dip I grew up eating in the eighties, with the exception of these modifications:    1. ...",Easy
